bank_txn_id,txn_date,narration,amount,utr
BNK-00077,2026-06-17,RAZORP*ORIO077-856WPR,134002.26,UTR342756924831
BNK-00001,2026-06-10,RTGS-RAZORP*UDAA00,10865.03,
BNK-00258,2026-07-16,UPI-RAZORP*BLUE258,72569.7,UTR927413286234
BNK-00218,2026-06-10,RAZORP*PINN218-8W2,6400.94,UTR141625421031
BNK-00015,2026-06-30,RTGS-RAZORP*VERT015-S280XK,82910.82,
BNK-00271,2026-06-29,UPI-RAZORP*BLUE271-ZEZ5EH,217429.41,
BNK-00051,2026-06-11,NEFT-RAZORP*QUAR051-4X2E,73074.2,UTR190170799779
BNK-00148,2026-06-15,UPI-RAZORP*CRES148-QMKTGV,80902.11,UTR498745236452
BNK-00236,2026-06-13,RAZORP*GANG236-A0774R,165301.75,UTR886911014797
BNK-00219,2026-07-13,UPI-RAZORP*DELT219-JW6QD,91455.3,
BNK-00126,2026-07-03,NEFT-RAZORP*DELT126-RWGW,17722.49,UTR727010213563
BNK-00245,2026-07-16,IMPS-RAZORP*GANG245-46W4,235037.72,
BNK-00212,2026-06-09,IMPS-RAZORP*YASH212-DCUJ,71214.15,UTR775247828337
BNK-00146,2026-06-26,NEFT-RAZORP*CRES14,226887.73,
BNK-00141,2026-07-18,NEFT-RAZORP*WAVE141-LZFFLB,159807.32,UTR390153381722
BNK-00032,2026-07-15,RAZORP*YASH032-FQJJA2,173265.35,UTR520352055311
BNK-00119,2026-07-02,NEFT-RAZORP*VERT11,53184.73,UTR785908047210
BNK-00253,2026-07-02,RTGS-RAZORP*QUAR253-OFKJW6,189883.47,UTR412777080157
BNK-00106,2026-07-02,RTGS-RAZORP*LOTU10,238013.04,UTR449293590808
BNK-N0007,2026-06-13,INTEREST CREDIT SB,34968.73,
BNK-N0008,2026-06-16,INTEREST CREDIT SB,10042.01,
BNK-00088,2026-07-20,RAZORP*ORIO088-B8Z,55033.67,UTR626554116458
BNK-00080,2026-07-04,IMPS-RAZORP*ZENI080-1R00Q0,187077.36,
BNK-00227,2026-06-05,IMPS-RAZORP*CRES227-1BMQF7,213430.75,
BNK-00163,2026-07-15,IMPS-RAZORP*EVER163-AE58,128559.38,UTR496687311318
BNK-00269,2026-06-08,NEFT-RAZORP*JAIP269-4JSE17,13725.93,
BNK-00164,2026-06-24,IMPS-RAZORP*JAIP164-LKJXJQ,82649.45,UTR181205260416
BNK-00003,2026-06-15,RTGS-RAZORP*HARB003-IUJV,115462.96,UTR535935878833
BNK-00101,2026-06-29,UPI-RAZORP*EVER101-CTWJL,210804.2,UTR884383738449
BNK-00022,2026-06-09,RTGS-RAZORP*HARB02,71606.66,
BNK-00254,2026-07-03,NEFT-RAZORP*UDAA25,25392.24,UTR760575627385
BNK-00091,2026-06-16,UPI-RAZORP*ZENI091-IOGXP,129542.05,UTR706339659651
BNK-00262,2026-06-14,RAZORP*UDAA262-3OMD4P,160311.46,UTR597614036657
BNK-00233,2026-07-10,IMPS-RAZORP*FALC233-JZNT,18878.74,UTR757535907842
BNK-00158,2026-06-03,UPI-RAZORP*UDAA158-7UJODC,238274.07,
BNK-00182,2026-06-22,NEFT-RAZORP*DELT182-Q8CXX6,112544.83,UTR285780770380
BNK-00118,2026-07-08,NEFT-RAZORP*ZENI11,103915.06,UTR649904971633
BNK-00294,2026-06-29,RTGS-RAZORP*LOTU294-P7PP,230793.64,UTR610303952467
BNK-00058,2026-07-14,IMPS-RAZORP*HARB058-1ZHW,92514.37,
BNK-00154,2026-06-11,RAZORP*EVER154-P5ZP7R,8844.07,
BNK-00124,2026-07-04,UPI-RAZORP*DELT124-9JPNB,20152.98,
BNK-00070,2026-06-05,IMPS-RAZORP*JAIP070-2U1G46,7098.88,UTR810640626473
BNK-00226,2026-07-17,IMPS-RAZORP*LOTU22,231030.4,
BNK-N0006,2026-06-01,SALARY CREDIT FEB,69972.05,
BNK-00235,2026-06-05,UPI-RAZORP*JAIP235-EJCY1,182970.28,UTR134822810499
BNK-00065,2026-07-11,RAZORP*EVER065-R821UZ,218535.17,
BNK-00168,2026-07-05,IMPS-RAZORP*PINN16,76554.23,UTR564196671180
BNK-00041,2026-07-07,UPI-RAZORP*RANG041-493WXA,83739.25,
BNK-00259,2026-06-14,IMPS-RAZORP*QUAR259-QC2K9Y,122008.64,UTR884631411342
BNK-00114,2026-06-19,UPI-RAZORP*CRES114-RNTDR,87845.22,
BNK-00251,2026-06-06,IMPS-RAZORP*YASH251-GVLKDN,158309.92,UTR553916854413
BNK-00136,2026-07-11,NEFT-RAZORP*CRES13,235289.9,UTR887539353371
BNK-00123,2026-07-14,RAZORP*INDU123-DSX4NX,102843.48,
BNK-00201,2026-07-17,NEFT-RAZORP*GANG20,146252.71,
BNK-00028,2026-07-07,IMPS-RAZORP*MERI028-PZE9,13660.61,
BNK-00213,2026-06-05,IMPS-RAZORP*ACME213-YOW8DT,163867.68,
BNK-00024,2026-06-22,UPI-RAZORP*FALC024,8266.54,UTR375098568281
BNK-00044,2026-06-30,RAZORP*BLUE044-C50,9365.32,UTR577119884818
BNK-00206,2026-07-10,RAZORP*BLUE206-2LBM2Q,120488.44,UTR914457495256
BNK-00105,2026-07-04,UPI-RAZORP*SUMM105-RC9ZD7,243570.63,UTR902033957947
BNK-00266,2026-06-10,IMPS-RAZORP*YASH266-3EH81A,238038.16,
BNK-00172,2026-06-13,RTGS-RAZORP*UDAA172-UTLQ,172652.31,
BNK-00239,2026-07-12,IMPS-RAZORP*VERT239-WDC1,232172.31,
BNK-00285,2026-06-05,NEFT-RAZORP*NIMB28,146626.03,
BNK-00139,2026-06-10,UPI-RAZORP*VERT139-FYH1FK,239635.12,
BNK-00288,2026-06-14,RTGS-RAZORP*GANG288-QHR133,158114.23,
BNK-00241,2026-07-05,UPI-RAZORP*FALC241,18215.33,UTR518077513321
BNK-00082,2026-06-21,IMPS-RAZORP*QUAR082-Y4X41D,133040.2,
BNK-00295,2026-06-24,UPI-RAZORP*EVER295-HOTGDU,230549.26,UTR724188673123
BNK-N0002,2026-06-03,TDS REFUND AY26,21022.65,
BNK-00256,2026-06-05,RTGS-RAZORP*EVER25,59868.77,UTR200285786864
BNK-00250,2026-06-18,RTGS-RAZORP*YASH250-ZSMV30,76030.91,UTR887408046181
BNK-00247,2026-06-22,NEFT-RAZORP*ZENI247-6ONX,115917.36,
BNK-00140,2026-07-18,RAZORP*BLUE140-B0H54P,192514.41,UTR526840647228
BNK-00021,2026-06-23,RAZORP*YASH021-8J3TRP,208287.44,
BNK-00173,2026-07-02,RAZORP*EVER173-KOLDXB,75612.22,
BNK-00296,2026-06-09,UPI-RAZORP*JAIP296-FDTRC,45889.62,
BNK-00238,2026-06-14,NEFT-RAZORP*LOTU238-IPR11V,7940.6,
BNK-00142,2026-07-09,NEFT-RAZORP*SUMM142-YQ6WW8,90542.52,
BNK-00010,2026-06-19,RAZORP*KEST010-ZW9XA3,68421.78,UTR370064409283
BNK-00147,2026-06-24,IMPS-RAZORP*XENO14,55533.29,
BNK-00263,2026-07-12,NEFT-RAZORP*XENO263-R7MZ,147417.55,UTR392330551950
BNK-00002,2026-07-12,RTGS-RAZORP*LOTU002-NHJ7,68160.15,UTR517045625552
BNK-00180,2026-06-27,UPI-RAZORP*XENO180-OUU9SI,237172.3,UTR244731251829
BNK-00053,2026-06-12,UPI-RAZORP*GANG053-AMUGYS,136165.85,
BNK-00274,2026-07-18,RAZORP*ZENI274-P3V,78764.02,
BNK-00171,2026-07-08,RAZORP*RANG171-F1I,34100.45,
BNK-00214,2026-06-20,RAZORP*ORIO214-XR838A,159845.65,
BNK-00264,2026-06-17,NEFT-RAZORP*ORIO264-YEHVDO,126317.65,
BNK-00073,2026-06-11,IMPS-RAZORP*SUMM073-0O30UB,19655.64,UTR557470916067
BNK-00016,2026-06-17,RTGS-RAZORP*YASH016-2ZQU,165334.06,UTR928467665569
BNK-00184,2026-06-04,RTGS-RAZORP*MERI184-UYHE,230736.49,UTR463377292435
BNK-00270,2026-06-04,IMPS-RAZORP*XENO270-SG2QFP,113282.95,
BNK-00100,2026-06-25,RTGS-RAZORP*MERI100-RERVT9,235308.42,UTR921148984176
BNK-00179,2026-06-24,UPI-RAZORP*XENO179-BSLUL,194558.96,
BNK-00067,2026-07-06,IMPS-RAZORP*EVER067-1ZYRRU,54481.88,
BNK-00008,2026-07-08,NEFT-RAZORP*GANG008-FAO72K,112198.43,
BNK-00085,2026-07-14,UPI-RAZORP*SUMM085-QTOAMD,95802.23,UTR399622701720
BNK-00122,2026-06-07,NEFT-RAZORP*GANG122-KNFU,64564.56,UTR708111020223
BNK-00156,2026-06-29,RTGS-RAZORP*VERT156-S22WYB,185484.88,UTR960911569591
BNK-00013,2026-06-14,RTGS-RAZORP*ZENI013-AGL58K,215732.62,UTR606455894514
BNK-00225,2026-07-16,NEFT-RAZORP*FALC225-CMRSEZ,138554.74,UTR395914369166
BNK-00260,2026-06-29,NEFT-RAZORP*QUAR260-OZL01Q,75566.53,
BNK-00230,2026-07-08,RAZORP*CRES230-D0P92K,208086.06,UTR409290004374
BNK-00097,2026-06-08,NEFT-RAZORP*XENO09,179734.07,UTR965372936925
BNK-00131,2026-06-09,NEFT-RAZORP*VERT131-46AEXL,221824.03,UTR496384967774
BNK-00243,2026-07-01,IMPS-RAZORP*VERT243-8HW9,140769.64,
BNK-00199,2026-06-08,NEFT-RAZORP*MERI199-QYZQII,25483.35,UTR614384302715
BNK-00012,2026-06-10,RTGS-RAZORP*YASH012-YMU5,157290.99,UTR975885943559
BNK-00060,2026-06-06,UPI-RAZORP*CRES060-S53SK,78869.92,
BNK-00110,2026-07-13,IMPS-RAZORP*TUND110-6SNGLH,63678.14,
BNK-00043,2026-07-05,RTGS-RAZORP*GANG043-ETIUYM,32109.19,UTR230258293666
BNK-00059,2026-07-01,RTGS-RAZORP*CRES059-2IRM,46184.51,UTR972626076284
BNK-00087,2026-07-01,UPI-RAZORP*KEST087,84956.92,UTR961466841884
BNK-00248,2026-07-04,IMPS-RAZORP*SUMM248-PJVRN8,228056.95,UTR338039409811
BNK-00108,2026-06-18,NEFT-RAZORP*BLUE108-GU3O,36151.44,
BNK-00039,2026-07-17,RAZORP*ZENI039-TQVDZ4,129622.52,UTR742669170937
BNK-00018,2026-06-13,RAZORP*WAVE018-0TV,173870.18,
BNK-00023,2026-06-29,UPI-RAZORP*HARB023-JV1V93,170369.93,
BNK-00186,2026-06-24,RTGS-RAZORP*ACME186-C795RL,23893.95,UTR555052635603
BNK-00071,2026-06-29,RAZORP*CRES071-751YW7,164980.05,UTR231717138423
BNK-00286,2026-06-30,UPI-RAZORP*UDAA286-SVDAZ,20620.21,UTR210033757396
BNK-00069,2026-06-12,RTGS-RAZORP*YASH069-P47B,6121.49,UTR914047280448
BNK-00092,2026-06-28,IMPS-RAZORP*NIMB09,5946.52,UTR527765732491
BNK-00034,2026-06-19,RAZORP*TUND034-SJF678,167015.45,UTR319797700469
BNK-00185,2026-06-11,RTGS-RAZORP*YASH185-G1WJ,161864.44,
BNK-00007,2026-06-07,UPI-RAZORP*UDAA007,59649.0,
BNK-00234,2026-07-03,NEFT-RAZORP*LOTU234-RLN36V,103438.5,
BNK-00268,2026-06-05,RTGS-RAZORP*MERI268-5WWPM3,162473.81,UTR772281746428
BNK-00178,2026-06-20,RTGS-RAZORP*BLUE178-J6IJ,147399.19,UTR203743710076
BNK-00151,2026-06-17,RAZORP*LOTU151-J9IO3M,15122.55,UTR818877278965
BNK-00287,2026-07-14,IMPS-RAZORP*EVER28,126619.56,UTR259539243228
BNK-00191,2026-07-15,NEFT-RAZORP*FALC19,72910.95,UTR704917408719
BNK-00153,2026-06-15,RAZORP*INDU153-XJ0MQV,128471.75,
BNK-00111,2026-07-06,RAZORP*PINN111-BZ8UUG,90386.38,UTR294019615823
BNK-00132,2026-06-09,RAZORP*INDU132-YGNMBY,94019.93,UTR212353747742
BNK-00176,2026-06-22,UPI-RAZORP*TUND176-ZPD2T,131433.3,UTR557663733332
BNK-00183,2026-06-21,NEFT-RAZORP*ACME18,212382.19,UTR437281270772
BNK-00005,2026-07-12,NEFT-RAZORP*DELT005-039T,76275.36,
BNK-00229,2026-07-05,IMPS-RAZORP*JAIP229-DBXVH7,219215.94,
BNK-00255,2026-06-15,RAZORP*INDU255-L6L91F,125387.29,
BNK-00143,2026-06-11,RTGS-RAZORP*ZENI143-Y15PDT,97190.47,UTR950215732343
BNK-00200,2026-06-13,IMPS-RAZORP*MERI200-TOOWT9,172242.41,
BNK-00094,2026-07-18,UPI-RAZORP*NIMB094,205406.76,UTR700329539251
BNK-00208,2026-06-14,UPI-RAZORP*TUND208,222601.83,
BNK-00190,2026-07-06,RTGS-RAZORP*PINN190-4Y4K7B,198039.66,UTR259707671662
BNK-00273,2026-07-09,RAZORP*JAIP273-BYP,113098.11,UTR526961102589
BNK-N0003,2026-07-15,SALARY CREDIT FEB,75612.1,
BNK-00037,2026-06-26,IMPS-RAZORP*UDAA037-12VJ99,19366.66,UTR330013571010
BNK-00209,2026-06-28,UPI-RAZORP*ORIO209-VXJJ2J,118805.25,UTR849601730593
BNK-00205,2026-06-04,UPI-RAZORP*UDAA205-VU4ISO,39328.41,
BNK-00267,2026-06-14,RTGS-RAZORP*QUAR267-1ZSC,25271.47,UTR850737122054
BNK-00211,2026-06-08,NEFT-RAZORP*TUND211-W7JP61,18489.18,
BNK-00189,2026-06-26,UPI-RAZORP*UDAA189,25288.86,UTR884987551161
BNK-00298,2026-06-15,UPI-RAZORP*ZENI298-O1EN1S,104170.09,UTR176949906843
BNK-N0001,2026-06-23,GST REFUND ADJ,21067.17,
BNK-00027,2026-06-24,UPI-RAZORP*NIMB027-MLY4LY,149301.16,UTR579255341440
BNK-00075,2026-06-14,RAZORP*NIMB075-E9419Q,188833.97,UTR230342679193
BNK-00049,2026-07-05,RAZORP*NIMB049-NF313F,91437.79,
BNK-00169,2026-07-02,NEFT-RAZORP*TUND169-L48C1C,69909.05,
BNK-00237,2026-06-15,UPI-RAZORP*DELT237-IO9P46,204567.35,UTR226674531924
BNK-00160,2026-06-23,NEFT-RAZORP*VERT160-YXW1TB,23069.46,
BNK-00215,2026-06-06,RTGS-RAZORP*ZENI21,101886.77,UTR366484689142
BNK-00029,2026-07-09,NEFT-RAZORP*ACME029-J2O7S3,102480.72,UTR307805919610
BNK-00149,2026-07-09,UPI-RAZORP*EVER149-I10KQS,51872.05,
BNK-00181,2026-07-17,NEFT-RAZORP*KEST181-0IWF3K,225952.46,UTR320046162303
BNK-00231,2026-06-12,RTGS-RAZORP*NIMB231-GNTB34,204751.4,UTR879373870716
BNK-00090,2026-07-15,UPI-RAZORP*UDAA090-DO8E7F,159594.71,
BNK-00121,2026-06-23,NEFT-RAZORP*ZENI12,79266.67,
BNK-N0000,2026-06-01,REVERSAL CHGBACK,15507.69,
BNK-00020,2026-07-14,IMPS-RAZORP*CRES020-U6N7,14393.9,
BNK-00014,2026-06-23,IMPS-RAZORP*RANG014-P87WXE,229564.43,UTR579785579472
BNK-00107,2026-06-16,NEFT-RAZORP*YASH107-84UT,112988.7,
BNK-00293,2026-06-18,RAZORP*ORIO293-99106A,68424.26,
BNK-00195,2026-07-11,IMPS-RAZORP*JAIP195-ZJD5N3,178306.48,
BNK-00083,2026-06-06,RAZORP*PINN083-UB7L8V,157203.6,UTR148408984648
BNK-00300,2026-07-16,RTGS-RAZORP*WAVE30,184232.37,UTR585116635229
BNK-00197,2026-06-11,RAZORP*BLUE197-LFZKIC,129413.56,UTR716855851560
BNK-00019,2026-07-17,IMPS-RAZORP*VERT019-13JCAT,195812.01,
BNK-00064,2026-06-27,RTGS-RAZORP*INDU064-HSSBEL,187610.29,UTR509713696703
BNK-00137,2026-06-11,UPI-RAZORP*PINN137-X8ERTB,201480.6,UTR747131921323
BNK-00290,2026-06-22,NEFT-RAZORP*GANG290-1V4KFI,114014.13,UTR511004120395
BNK-00113,2026-07-14,RTGS-RAZORP*NIMB113-V78H,234689.67,
BNK-00272,2026-07-08,IMPS-RAZORP*FALC272-H3REM5,93232.87,UTR562093917524
BNK-00093,2026-06-10,IMPS-RAZORP*KEST093-8RHNUX,61952.89,UTR302466031958
BNK-00196,2026-06-15,RTGS-RAZORP*JAIP19,31729.74,
BNK-00117,2026-07-13,UPI-RAZORP*VERT117,148464.35,UTR505365220420
BNK-00004,2026-07-07,NEFT-RAZORP*EVER004-KFAZ,122939.87,UTR847816305483
BNK-00050,2026-07-17,RTGS-RAZORP*LOTU05,177019.85,UTR412542358733
BNK-00297,2026-06-24,UPI-RAZORP*GANG297-U0K5QZ,108272.19,
BNK-00104,2026-07-09,IMPS-RAZORP*BLUE104-DQNK,197001.67,UTR174736403158
BNK-00030,2026-07-12,UPI-RAZORP*SUMM030-92XF8E,243837.42,UTR448079814698
BNK-00062,2026-07-08,RAZORP*UDAA062-ULQJID,74176.68,UTR481654132689
BNK-00068,2026-07-16,RTGS-RAZORP*SUMM068-B6IIDL,134823.02,
BNK-00033,2026-06-07,RAZORP*FALC033-0361I2,110551.71,UTR825119489915
BNK-00125,2026-06-18,RTGS-RAZORP*WAVE125-M0L2LJ,169061.65,UTR301488189141
BNK-00283,2026-06-08,IMPS-RAZORP*EVER28,35365.77,UTR806209079249
BNK-00116,2026-06-29,IMPS-RAZORP*FALC116-IBU4FM,43373.25,
BNK-00161,2026-07-06,NEFT-RAZORP*KEST161-ZQYAHU,219728.76,
BNK-00282,2026-06-16,UPI-RAZORP*LOTU282-DJSGG,111232.98,
BNK-00061,2026-06-20,NEFT-RAZORP*QUAR06,207244.57,UTR722443538576
BNK-00187,2026-06-29,RAZORP*NIMB187-N18GP5,190566.54,UTR667991049521
BNK-00055,2026-07-19,UPI-RAZORP*CRES055-606N9R,190420.96,
BNK-00188,2026-06-23,NEFT-RAZORP*NIMB18,151554.76,UTR750488605610
BNK-00166,2026-06-05,IMPS-RAZORP*FALC16,13291.7,
BNK-00095,2026-06-08,IMPS-RAZORP*LOTU09,109915.43,
BNK-00096,2026-06-30,UPI-RAZORP*YASH096,224668.01,UTR183545668309
BNK-00244,2026-06-23,RTGS-RAZORP*BLUE244-OJSY,243197.59,UTR655347204229
BNK-00063,2026-06-28,NEFT-RAZORP*TUND06,64272.73,UTR366144892534
BNK-00249,2026-07-18,NEFT-RAZORP*PINN249-TIPA87,63812.56,
BNK-00025,2026-07-07,RTGS-RAZORP*DELT02,187750.63,
BNK-N0004,2026-07-04,RENT PAYMENT HO,36374.42,
BNK-00098,2026-06-15,NEFT-RAZORP*NIMB098-HCVSQA,243069.95,UTR356646767873
BNK-00057,2026-06-16,RAZORP*TUND057-2Y8,135369.3,
BNK-00129,2026-06-13,RTGS-RAZORP*QUAR129-ZWKX,34344.57,UTR701826258207
BNK-00035,2026-06-11,RTGS-RAZORP*KEST035-QW7LVX,116915.3,UTR519122494202
BNK-00112,2026-07-04,NEFT-RAZORP*FALC112-N7OD,13963.62,UTR258558270377
BNK-00203,2026-07-15,RTGS-RAZORP*EVER203-4C68AU,40577.26,
