settlement_id,order_id,utr,settlement_date,gross_amount,fee,tax,settled_amount,merchant_ref
STL-0031,order_XFQ8MYX444,UTR788554816658,2026-06-10,133858.02,2677.16,481.89,130698.97,RAZORP*ORIO031
STL-0032,order_B2KNFTU2GC,UTR520352055311,2026-07-14,177453.25,3549.07,638.83,173265.35,RAZORP*YASH032
STL-0033,order_YQK94DNMKZ,UTR825119489915,2026-06-07,113223.8,2264.48,407.61,110551.71,RAZORP*FALC033
STL-0034,order_W6XLPU0DK0,UTR319797700469,2026-06-18,171052.29,3421.05,615.79,167015.45,RAZORP*TUND034
STL-0035,order_982N2ATQYY,UTR519122494202,2026-06-11,119741.19,2394.82,431.07,116915.3,RAZORP*KEST035
STL-0036,order_D5EQY08P0F,UTR819041453913,2026-07-13,105032.48,2100.65,378.12,102553.71,RAZORP*JAIP036
STL-0037,order_DHX8BM92H3,UTR330013571010,2026-06-26,19834.77,396.7,71.41,19366.66,RAZORP*UDAA037
STL-0038,order_LGB0S0R2SD,UTR342682139286,2026-07-16,217279.73,4345.59,782.21,212151.93,RAZORP*DELT038
STL-0039,order_ROYR6CCVCJ,UTR742669170937,2026-07-16,132755.55,2655.11,477.92,129622.52,RAZORP*ZENI039
STL-0040,order_PXNF7C3DD0,UTR245220443325,2026-06-30,88038.25,1760.77,316.94,85960.54,RAZORP*HARB040
STL-0041,order_P6BKLDSFR4,UTR506116067841,2026-07-07,85763.27,1715.27,308.75,83739.25,RAZORP*RANG041
STL-0042,order_FXC08DTNQF,UTR891612454760,2026-07-17,191790.33,3835.81,690.45,187264.07,RAZORP*INDU042
STL-0043,order_RYBOVAKHEJ,UTR230258293666,2026-07-04,32885.29,657.71,118.39,32109.19,RAZORP*GANG043
STL-0044,order_UZPEAL2W37,UTR577119884818,2026-06-29,9591.68,191.83,34.53,9365.32,RAZORP*BLUE044
STL-0045,order_DJGF1C8WQU,UTR592115068238,2026-06-26,91019.44,1820.39,327.67,88871.38,RAZORP*GANG045
STL-0047,order_0B6UGVS8Q3,UTR477258662365,2026-07-13,150549.56,3010.99,541.98,146996.59,RAZORP*CRES047
STL-0048,order_DYK0X65MUF,UTR440804885228,2026-06-25,171329.94,3426.6,616.79,167286.55,RAZORP*YASH048
STL-0049,order_8RIEC4D145,UTR826011597249,2026-07-05,93647.88,1872.96,337.13,91437.79,RAZORP*NIMB049
STL-0050,order_2II826GYUP,UTR412542358733,2026-07-16,181298.49,3625.97,652.67,177019.85,RAZORP*LOTU050
STL-0051,order_FP8HQMABSI,UTR190170799779,2026-06-10,74840.44,1496.81,269.43,73074.2,RAZORP*QUAR051
STL-0053,order_KKBP2QD6VA,UTR733573714419,2026-06-11,139457.04,2789.14,502.05,136165.85,RAZORP*GANG053
STL-0054,order_QW9JA2M0W1,UTR932086292191,2026-07-07,129295.29,2585.91,465.46,126243.92,RAZORP*QUAR054
STL-0055,order_B7S9TJ1GM2,UTR820978113703,2026-07-18,195166.65,3903.33,702.6,190420.96,RAZORP*CRES055
STL-0057,order_QZFPQ06WPX,UTR181850729653,2026-06-15,138641.23,2772.82,499.11,135369.3,RAZORP*TUND057
STL-0058,order_Y8N1UTOXIE,UTR305023162379,2026-07-14,94750.48,1895.01,341.1,92514.37,RAZORP*HARB058
STL-0059,order_89YZTKKFZZ,UTR972626076284,2026-07-01,47300.81,946.02,170.28,46184.51,RAZORP*CRES059
STL-0060,order_13C9XQYM52,UTR746992988388,2026-06-06,80776.23,1615.52,290.79,78869.92,RAZORP*CRES060
STL-0061,order_WWDXVUGW6M,UTR722443538576,2026-06-20,212253.76,4245.08,764.11,207244.57,RAZORP*QUAR061
STL-0062,order_YKCCPRHVLZ,UTR481654132689,2026-07-07,75969.56,1519.39,273.49,74176.68,RAZORP*UDAA062
STL-0063,order_UL1RSRLA8S,UTR366144892534,2026-06-28,65826.22,1316.52,236.97,64272.73,RAZORP*TUND063
STL-0064,order_HTCS1K9YE9,UTR509713696703,2026-06-26,192144.91,3842.9,691.72,187610.29,RAZORP*INDU064
STL-0065,order_W4VSSRURAL,UTR741739153942,2026-07-11,223817.26,4476.35,805.74,218535.17,RAZORP*EVER065
STL-0066,order_UZGPPOHSWQ,UTR911097603102,2026-07-13,194778.5,3895.57,701.2,190181.73,RAZORP*UDAA066
STL-0067,order_8QTTY5Y2JR,UTR374694672472,2026-07-06,55798.72,1115.97,200.87,54481.88,RAZORP*EVER067
STL-0068,order_1FB8C7X0H3,UTR866918027702,2026-07-16,138081.76,2761.64,497.1,134823.02,RAZORP*SUMM068
STL-0069,order_75RH8LX6DU,UTR914047280448,2026-06-12,6269.45,125.39,22.57,6121.49,RAZORP*YASH069
STL-0070,order_K9TR74QGEF,UTR810640626473,2026-06-05,7270.46,145.41,26.17,7098.88,RAZORP*JAIP070
STL-0071,order_ANQJLUUJMI,UTR231717138423,2026-06-28,168967.68,3379.35,608.28,164980.05,RAZORP*CRES071
STL-0072,order_Z61231YV2S,UTR875362599556,2026-06-11,122154.57,2443.09,439.76,119271.72,RAZORP*HARB072
STL-0073,order_FLSEHUDS3Q,UTR557470916067,2026-06-10,20130.72,402.61,72.47,19655.64,RAZORP*SUMM073
STL-0075,order_P9N56NYXTX,UTR230342679193,2026-06-13,193398.16,3867.96,696.23,188833.97,RAZORP*NIMB075
STL-0076,order_E3P15AHDBV,UTR366497035560,2026-06-19,117853.19,2357.06,424.27,115071.86,RAZORP*HARB076
STL-0077,order_9I6UU13I59,UTR342756924831,2026-06-17,137241.15,2744.82,494.07,134002.26,RAZORP*ORIO077
STL-0078,order_GTII4FQCOO,UTR248305185574,2026-06-27,197522.13,3950.44,711.08,192860.61,RAZORP*VERT078
STL-0079,order_UR5L8A78E9,UTR865546108478,2026-07-12,14689.15,293.78,52.88,14342.49,RAZORP*TUND079
STL-0080,order_UHFJ7UPFLN,UTR369867237953,2026-07-03,191599.1,3831.98,689.76,187077.36,RAZORP*ZENI080
STL-0081,order_CB48Y1O4IZ,UTR336262463569,2026-07-08,124637.5,2492.75,448.69,121696.06,RAZORP*XENO081
STL-0082,order_36DDFGS3JO,UTR604255048076,2026-06-21,136255.84,2725.12,490.52,133040.2,RAZORP*QUAR082
STL-0083,order_XL9967I6YU,UTR148408984648,2026-06-05,161003.28,3220.07,579.61,157203.6,RAZORP*PINN083
STL-0084,order_TN02YC0MDI,UTR473988650640,2026-06-14,143169.76,2863.4,515.41,139790.95,RAZORP*JAIP084
STL-0085,order_CJN2FOMD7Q,UTR399622701720,2026-07-14,98117.81,1962.36,353.22,95802.23,RAZORP*SUMM085
STL-0086,order_9ISYGJJFGJ,UTR629568403524,2026-06-20,106383.47,2127.67,382.98,103872.82,RAZORP*ACME086
STL-0087,order_EL8HL88KZR,UTR961466841884,2026-06-30,87010.37,1740.21,313.24,84956.92,RAZORP*KEST087
STL-0088,order_42YFKJFPNQ,UTR626554116458,2026-07-19,56363.86,1127.28,202.91,55033.67,RAZORP*ORIO088
STL-0090,order_DDH0UYHNQY,UTR652721219532,2026-07-15,163452.18,3269.04,588.43,159594.71,RAZORP*UDAA090
STL-0091,order_LK3E4XYF9I,UTR706339659651,2026-06-15,132673.13,2653.46,477.62,129542.05,RAZORP*ZENI091
STL-0092,order_CD5GLQJ5SX,UTR527765732491,2026-06-28,6090.26,121.81,21.93,5946.52,RAZORP*NIMB092
STL-0093,order_PENGWYX9TR,UTR302466031958,2026-06-10,63450.32,1269.01,228.42,61952.89,RAZORP*KEST093
STL-0094,order_KJTGQ01TEE,UTR700329539251,2026-07-18,210773.49,4215.47,758.78,205406.76,RAZORP*NIMB094
STL-0095,order_3VMZWFFHHC,UTR685622293261,2026-06-08,112572.13,2251.44,405.26,109915.43,RAZORP*LOTU095
STL-0096,order_5IZ31YRUJO,UTR183545668309,2026-06-30,230098.33,4601.97,828.35,224668.01,RAZORP*YASH096
STL-0097,order_CTHPHJ3MUU,UTR965372936925,2026-06-08,184078.32,3681.57,662.68,179734.07,RAZORP*XENO097
STL-0098,order_55DMCXXBW0,UTR356646767873,2026-06-15,248945.05,4978.9,896.2,243069.95,RAZORP*NIMB098
STL-0099,order_DNKN35XYCU,UTR815585872304,2026-07-16,37382.91,747.66,134.58,36500.67,RAZORP*NIMB099
STL-0100,order_IVZK7A45HV,UTR921148984176,2026-06-25,240995.93,4819.92,867.59,235308.42,RAZORP*MERI100
STL-0101,order_181ACJBC2S,UTR884383738449,2026-06-28,215899.43,4317.99,777.24,210804.2,RAZORP*EVER101
STL-0102,order_XLP8II7EWB,UTR914609608952,2026-07-08,85053.82,1701.08,306.19,83046.55,RAZORP*EVER102
STL-0103,order_SJ9WRSB4GF,UTR214990572280,2026-06-21,184569.28,3691.39,664.45,180213.44,RAZORP*EVER103
STL-0104,order_I6L3UEYBIS,UTR174736403158,2026-07-08,201763.29,4035.27,726.35,197001.67,RAZORP*BLUE104
STL-0105,order_2F7ATWYAM1,UTR902033957947,2026-07-04,249457.84,4989.16,898.05,243570.63,RAZORP*SUMM105
STL-0106,order_OVCXEK47O3,UTR449293590808,2026-07-02,243765.92,4875.32,877.56,238013.04,RAZORP*LOTU106
STL-0107,order_3KZVH4FZ8O,UTR843239583508,2026-06-16,115719.68,2314.39,416.59,112988.7,RAZORP*YASH107
STL-0108,order_XUJ3AC6PE6,UTR992620287906,2026-06-17,37025.23,740.5,133.29,36151.44,RAZORP*BLUE108
STL-0110,order_DNPX2I9TAN,UTR493905927621,2026-07-12,65217.27,1304.35,234.78,63678.14,RAZORP*TUND110
STL-0111,order_IIT2018U9N,UTR294019615823,2026-07-05,92571.06,1851.42,333.26,90386.38,RAZORP*PINN111
STL-0112,order_A7HEZ74LAV,UTR258558270377,2026-07-03,14301.12,286.02,51.48,13963.62,RAZORP*FALC112
STL-0113,order_Y72IVGLYE0,UTR872874159856,2026-07-14,240362.21,4807.24,865.3,234689.67,RAZORP*NIMB113
STL-0114,order_ZX5QJICJDA,UTR582693924356,2026-06-19,89968.48,1799.37,323.89,87845.22,RAZORP*CRES114
STL-0116,order_6ZPXVPBL9O,UTR892653877234,2026-06-28,44421.6,888.43,159.92,43373.25,RAZORP*FALC116
STL-0117,order_9RE2Q6JXNN,UTR505365220420,2026-07-12,152052.8,3041.06,547.39,148464.35,RAZORP*VERT117
STL-0118,order_NS8Y7UIKO4,UTR649904971633,2026-07-08,106426.73,2128.53,383.14,103915.06,RAZORP*ZENI118
STL-0119,order_L03DUT4S7A,UTR785908047210,2026-07-01,54470.22,1089.4,196.09,53184.73,RAZORP*VERT119
STL-0120,order_BJFVYB6LI0,UTR396012732259,2026-06-25,220083.92,4401.68,792.3,214889.94,RAZORP*RANG120
STL-0121,order_9IK01L0VDP,UTR913497602318,2026-06-22,81182.58,1623.65,292.26,79266.67,RAZORP*ZENI121
STL-0122,order_J3SWEBNVG5,UTR708111020223,2026-06-06,66125.11,1322.5,238.05,64564.56,RAZORP*GANG122
STL-0123,order_G2IV7ZZJ64,UTR376849288425,2026-07-13,105329.26,2106.59,379.19,102843.48,RAZORP*INDU123
STL-0124,order_JZ6KF1622V,UTR450729307132,2026-07-04,20640.08,412.8,74.3,20152.98,RAZORP*DELT124
STL-0125,order_MKGXUKQ00U,UTR301488189141,2026-06-18,173147.94,3462.96,623.33,169061.65,RAZORP*WAVE125
STL-0126,order_QHEYTO5F9M,UTR727010213563,2026-07-03,18150.85,363.02,65.34,17722.49,RAZORP*DELT126
STL-0127,order_PPRAT0861T,UTR843106291386,2026-07-03,197376.67,3947.53,710.56,192718.58,RAZORP*FALC127
STL-0128,order_9M6MG87OI0,UTR332491758517,2026-07-03,183318.82,3666.38,659.95,178992.49,RAZORP*JAIP128
STL-0129,order_X1WVBD4BEP,UTR701826258207,2026-06-13,35174.69,703.49,126.63,34344.57,RAZORP*QUAR129
STL-0130,order_V239MOFT6Y,UTR462841688793,2026-07-04,181097.73,3621.95,651.95,176823.83,RAZORP*DELT130
STL-0131,order_DS0DJI9KQD,UTR496384967774,2026-06-09,227185.61,4543.71,817.87,221824.03,RAZORP*VERT131
STL-0132,order_JN42X2EZC7,UTR212353747742,2026-06-08,96292.43,1925.85,346.65,94019.93,RAZORP*INDU132
STL-0134,order_0I85SYWP0R,UTR845879957720,2026-06-24,8028.25,160.56,28.9,7838.79,RAZORP*UDAA134
STL-0135,order_CPUDRL90AO,UTR710039252993,2026-06-21,17335.93,346.72,62.41,16926.8,RAZORP*KEST135
STL-0136,order_XQM334L1VZ,UTR887539353371,2026-07-11,240976.96,4819.54,867.52,235289.9,RAZORP*CRES136
STL-0137,order_HE4H3GM1BW,UTR747131921323,2026-06-10,206350.47,4127.01,742.86,201480.6,RAZORP*PINN137
STL-0138,order_3DXVL5PVYI,UTR595184704771,2026-07-04,196364.97,3927.3,706.91,191730.76,RAZORP*PINN138
STL-0139,order_YLEMRUYP04,UTR567495598460,2026-06-10,245427.2,4908.54,883.54,239635.12,RAZORP*VERT139
STL-0140,order_WYUIXNS2ZY,UTR526840647228,2026-07-17,197167.56,3943.35,709.8,192514.41,RAZORP*BLUE140
STL-0141,order_18KGYGGSNP,UTR390153381722,2026-07-17,163669.93,3273.4,589.21,159807.32,RAZORP*WAVE141
STL-0142,order_GCSOTDHHLM,UTR781837464346,2026-07-09,92730.97,1854.62,333.83,90542.52,RAZORP*SUMM142
STL-0143,order_3N2QB6GS8G,UTR950215732343,2026-06-11,99539.6,1990.79,358.34,97190.47,RAZORP*ZENI143
STL-0144,order_B2UUIJNWPA,UTR231740814935,2026-07-17,42669.87,853.4,153.61,41662.86,RAZORP*CRES144
STL-0146,order_K7N3BFH024,UTR257342028083,2026-06-25,232371.7,4647.43,836.54,226887.73,RAZORP*CRES146
STL-0147,order_GWJEYUB19T,UTR704064277398,2026-06-24,56875.55,1137.51,204.75,55533.29,RAZORP*XENO147
STL-0148,order_VUNLPAIH0P,UTR498745236452,2026-06-14,82857.55,1657.15,298.29,80902.11,RAZORP*CRES148
STL-0149,order_64W3U1HBJ6,UTR617713971090,2026-07-08,53125.82,1062.52,191.25,51872.05,RAZORP*EVER149
STL-0150,order_1FFUU5F07B,UTR635846443659,2026-07-14,63525.8,1270.52,228.69,62026.59,RAZORP*ACME150
STL-0151,order_5BXD8WJ0UU,UTR818877278965,2026-06-17,15488.07,309.76,55.76,15122.55,RAZORP*LOTU151
STL-0152,order_KFFV3XOLEY,UTR329690646938,2026-07-06,221098.39,4421.97,795.95,215880.47,RAZORP*ACME152
STL-0153,order_5038HVQRHO,UTR972491305037,2026-06-15,131576.97,2631.54,473.68,128471.75,RAZORP*INDU153
STL-0154,order_3VG6V5T1DX,UTR765298958603,2026-06-10,9057.84,181.16,32.61,8844.07,RAZORP*EVER154
STL-0155,order_6DVTJA0ASS,UTR818870279501,2026-07-16,146149.6,2922.99,526.14,142700.47,RAZORP*ZENI155
STL-0156,order_NTJLMZ04X0,UTR960911569591,2026-06-29,189968.12,3799.36,683.88,185484.88,RAZORP*VERT156
STL-0157,order_JNV07OXK8C,UTR800832452999,2026-06-08,206697.59,4133.95,744.11,201819.53,RAZORP*ACME157
STL-0158,order_OVS0CDK36M,UTR997490486585,2026-06-03,244033.25,4880.66,878.52,238274.07,RAZORP*UDAA158
STL-0159,order_Y8U118QQVA,UTR383967210094,2026-07-04,239393.79,4787.88,861.82,233744.09,RAZORP*DELT159
STL-0160,order_6J8Y6RH05H,UTR493498877389,2026-06-23,23627.06,472.54,85.06,23069.46,RAZORP*VERT160
STL-0161,order_G1SO1ESP7B,UTR530988324344,2026-07-05,225039.69,4500.79,810.14,219728.76,RAZORP*KEST161
STL-0162,order_GPP1NOQU9Y,UTR210871104700,2026-06-15,139398.03,2787.96,501.83,136108.24,RAZORP*INDU162
STL-0163,order_UUOYC3RWQM,UTR496687311318,2026-07-14,131666.71,2633.33,474.0,128559.38,RAZORP*EVER163
STL-0164,order_CWQ85X7PWO,UTR181205260416,2026-06-24,84647.12,1692.94,304.73,82649.45,RAZORP*JAIP164
STL-0165,order_J00HOD7RB1,UTR939769111668,2026-06-30,106427.32,2128.55,383.14,103915.63,RAZORP*QUAR165
STL-0166,order_Q57TE8TVQ0,UTR722243238430,2026-06-04,13612.97,272.26,49.01,13291.7,RAZORP*FALC166
STL-0168,order_2TG5PIZX3H,UTR564196671180,2026-07-04,78404.58,1568.09,282.26,76554.23,RAZORP*PINN168
STL-0169,order_TGDJZ0IFRM,UTR964626638158,2026-07-01,71672.86,1433.46,258.02,69909.05,RAZORP*TUND169
STL-0170,order_I9H0DXHO87,UTR792170965585,2026-06-28,207921.75,4158.44,748.52,203014.79,RAZORP*INDU170
STL-0171,order_BY9IPA2VOI,UTR147110787312,2026-07-07,34924.67,698.49,125.73,34100.45,RAZORP*RANG171
STL-0172,order_9212PGYME6,UTR875178470076,2026-06-12,176825.39,3536.51,636.57,172652.31,RAZORP*UDAA172
STL-0173,order_S05WNWLC83,UTR676341100765,2026-07-02,77439.8,1548.8,278.78,75612.22,RAZORP*EVER173
STL-0174,order_XSZJNVC7HR,UTR611444520093,2026-06-16,31228.52,624.57,112.42,30491.53,RAZORP*BLUE174
STL-0176,order_HSDINGXU8U,UTR557663733332,2026-06-21,134610.1,2692.2,484.6,131433.3,RAZORP*TUND176
STL-0177,order_4OW3LITNT0,UTR591569329863,2026-07-01,233712.39,4674.25,841.37,228196.77,RAZORP*TUND177
STL-0178,order_KH4A3YJTU7,UTR203743710076,2026-06-20,150961.89,3019.24,543.46,147399.19,RAZORP*BLUE178
STL-0179,order_DXB3N27M5P,UTR352416903282,2026-06-24,199261.53,3985.23,717.34,194558.96,RAZORP*XENO179
STL-0180,order_P2FMR0TJOP,UTR244731251829,2026-06-27,242904.86,4858.1,874.46,237172.3,RAZORP*XENO180
STL-0181,order_GMX1GM32WP,UTR320046162303,2026-07-17,231413.83,4628.28,833.09,225952.46,RAZORP*KEST181
STL-0182,order_T1TW9ZYN6S,UTR285780770380,2026-06-21,115265.08,2305.3,414.95,112544.83,RAZORP*DELT182
STL-0183,order_9DL5TGSQ7A,UTR437281270772,2026-06-21,217515.56,4350.31,783.06,212382.19,RAZORP*ACME183
STL-0184,order_OE0SY5YPUP,UTR463377292435,2026-06-04,236313.49,4726.27,850.73,230736.49,RAZORP*MERI184
STL-0185,order_TZG4FBL98K,UTR403818855227,2026-06-11,165776.78,3315.54,596.8,161864.44,RAZORP*YASH185
STL-0186,order_QXGNRFIO87,UTR555052635603,2026-06-24,24471.48,489.43,88.1,23893.95,RAZORP*ACME186
STL-0187,order_O7UTXZBDQ5,UTR667991049521,2026-06-29,195172.61,3903.45,702.62,190566.54,RAZORP*NIMB187
STL-0188,order_XDSGV6TOLA,UTR750488605610,2026-06-22,155217.9,3104.36,558.78,151554.76,RAZORP*NIMB188
STL-0189,order_WFTBGM55FF,UTR884987551161,2026-06-25,25900.1,518.0,93.24,25288.86,RAZORP*UDAA189
STL-0190,order_XQPVA5KW3H,UTR259707671662,2026-07-06,202826.37,4056.53,730.18,198039.66,RAZORP*PINN190
STL-0191,order_U80MB1L631,UTR704917408719,2026-07-15,74673.23,1493.46,268.82,72910.95,RAZORP*FALC191
STL-0192,order_9KVLS9MEUS,UTR648174654358,2026-07-06,246861.37,4937.23,888.7,241035.44,RAZORP*UDAA192
STL-0194,order_LAYM0WBGLM,UTR626874259465,2026-07-17,73998.54,1479.97,266.39,72252.18,RAZORP*GANG194
STL-0195,order_25M8KB9W4U,UTR303536637318,2026-07-10,182616.22,3652.32,657.42,178306.48,RAZORP*JAIP195
STL-0196,order_PARSG70S1F,UTR211118530535,2026-06-15,32496.66,649.93,116.99,31729.74,RAZORP*JAIP196
STL-0197,order_L6LGJLPEFJ,UTR716855851560,2026-06-10,132541.54,2650.83,477.15,129413.56,RAZORP*BLUE197
STL-0199,order_WYQMLH13C7,UTR614384302715,2026-06-07,26099.3,521.99,93.96,25483.35,RAZORP*MERI199
STL-0200,order_QBRMQG1VED,UTR885195410796,2026-06-13,176405.58,3528.11,635.06,172242.41,RAZORP*MERI200
STL-0201,order_TIXC7URVQT,UTR588861866578,2026-07-16,149787.7,2995.75,539.24,146252.71,RAZORP*GANG201
STL-0203,order_HYLU6K7P9M,UTR740333613592,2026-07-14,41558.03,831.16,149.61,40577.26,RAZORP*EVER203
STL-0204,order_NNTXRGN74F,UTR240316865387,2026-06-03,62634.09,1252.68,225.48,61155.93,RAZORP*JAIP204
STL-0205,order_EE346Z7WQP,UTR597443418996,2026-06-04,40278.99,805.58,145.0,39328.41,RAZORP*UDAA205
STL-0206,order_C0S41KSSVI,UTR914457495256,2026-07-10,123400.69,2468.01,444.24,120488.44,RAZORP*BLUE206
STL-0207,order_ZVK2JWUUXK,UTR786066823387,2026-06-28,91464.06,1829.28,329.27,89305.51,RAZORP*KEST207
STL-0208,order_G2IGSB98V3,UTR644763404961,2026-06-14,227982.21,4559.64,820.74,222601.83,RAZORP*TUND208
STL-0209,order_IYOJTPK2NL,UTR849601730593,2026-06-27,121676.83,2433.54,438.04,118805.25,RAZORP*ORIO209
STL-0210,order_YGTY3ADDQH,UTR376094658380,2026-06-17,184906.8,3698.14,665.67,180542.99,RAZORP*VERT210
STL-0211,order_VE8DVN1X2G,UTR864980254718,2026-06-07,18936.07,378.72,68.17,18489.18,RAZORP*TUND211
STL-0212,order_8JPR7VGRF1,UTR775247828337,2026-06-08,72935.43,1458.71,262.57,71214.15,RAZORP*YASH212
STL-0213,order_AZ1RO03CIN,UTR631630321263,2026-06-04,167828.43,3356.57,604.18,163867.68,RAZORP*ACME213
STL-0214,order_KODYR5PGBA,UTR752819496488,2026-06-20,163709.18,3274.18,589.35,159845.65,RAZORP*ORIO214
STL-0215,order_Y5FU7BFXQ7,UTR366484689142,2026-06-06,104349.42,2086.99,375.66,101886.77,RAZORP*ZENI215
STL-0216,order_P39YL9UE42,UTR150526974031,2026-06-11,126800.16,2536.0,456.48,123807.68,RAZORP*DELT216
STL-0218,order_KY2REFJQIG,UTR141625421031,2026-06-09,6555.65,131.11,23.6,6400.94,RAZORP*PINN218
STL-0219,order_1XJG2Y8RGY,UTR156019754956,2026-07-13,93665.82,1873.32,337.2,91455.3,RAZORP*DELT219
STL-0220,order_LHYL2LD05N,UTR178257150685,2026-07-04,131151.41,2623.03,472.15,128056.23,RAZORP*ACME220
STL-0222,order_5V2WWG84D4,UTR340499547050,2026-06-11,213654.58,4273.09,769.16,208612.33,RAZORP*EVER222
STL-0223,order_PO3ZDRC1YO,UTR242670251510,2026-06-29,245145.09,4902.9,882.52,239359.67,RAZORP*ACME223
STL-0224,order_W4C6LBPJ8T,UTR331045526966,2026-07-19,104313.29,2086.27,375.53,101851.49,RAZORP*EVER224
STL-0225,order_MTX015Z11L,UTR395914369166,2026-07-15,141903.66,2838.07,510.85,138554.74,RAZORP*FALC225
STL-0226,order_6QC6K8DJZR,UTR327096366314,2026-07-17,236614.5,4732.29,851.81,231030.4,RAZORP*LOTU226
STL-0227,order_MXLVZ4QKE2,UTR968320999108,2026-06-04,218589.46,4371.79,786.92,213430.75,RAZORP*CRES227
STL-0228,order_BLEJGUBLMN,UTR684813903664,2026-07-18,174750.52,3495.01,629.1,170626.41,RAZORP*FALC228
STL-0229,order_Y207MERBYE,UTR538193160458,2026-07-04,224514.48,4490.29,808.25,219215.94,RAZORP*JAIP229
STL-0230,order_ORVSCYOZPN,UTR409290004374,2026-07-07,213115.59,4262.31,767.22,208086.06,RAZORP*CRES230
STL-0231,order_9SM7VNAWJG,UTR879373870716,2026-06-12,209700.33,4194.01,754.92,204751.4,RAZORP*NIMB231
STL-0232,order_XWEXKG6XB1,UTR177183248094,2026-07-03,60007.45,1200.15,216.03,58591.27,RAZORP*XENO232
STL-0233,order_JP6MKT7S1G,UTR757535907842,2026-07-09,19335.05,386.7,69.61,18878.74,RAZORP*FALC233
