invoice_id,customer_name,invoice_date,amount,description
INV-073,Summit Traders,2026-06-08,20130.72,Summit Traders Invoice #073
INV-074,Rangoli Foods,2026-06-04,233972.79,Rangoli oFods Invoice #074
INV-075,Nimbus Cloud,2026-06-12,193398.16,Nimbus Cloud Invoice #075
INV-076,Harbor Steel,2026-06-16,117853.19,Harbro Steel Invoice #076
INV-077,Orion Freight,2026-06-15,137241.15,Orion Freight Invoice #077
INV-078,Vertex Systems,2026-06-25,197522.13,Vertex ySstems Invoice #078
INV-079,Tundra Robotics,2026-07-09,14689.15,Tundra Robotisc Invoice #079
INV-080,Zenith Furniture,2026-07-01,191599.1,Zeniht Furniture Invoice #080
INV-081,Xenon Chemicals,2026-07-05,124637.5,Xenon Chemicals Invoice #081
INV-082,Quartz Energy,2026-06-18,136255.84,Quartz Enregy Invoice #082
INV-083,Pinnacle Realty,2026-06-04,161003.28,Pinnacle Realty Invoice #083
INV-084,Jaipur Handicrafts,2026-06-11,143169.76,Jaipur Handicrafts Invoice #084
INV-085,Summit Traders,2026-07-13,98117.81,Summit Traders Invoice #085
INV-086,Acme Corp,2026-06-19,106383.47,Acme Corp Invoice #086
INV-087,Kestrel Media,2026-06-29,87010.37,Kestrel Media Invoice #087
INV-088,Orion Freight,2026-07-16,56363.86,Orion Freight Invoice #088
INV-089,Vertex Systems,2026-07-13,91977.16,Vertex Systems Invoice #089
INV-090,Udaan Airlines,2026-07-14,163452.18,Udaan Airlines Invoice #090
INV-091,Zenith Furniture,2026-06-14,132673.13,Zeinth Furniture Invoice #091
INV-092,Nimbus Cloud,2026-06-25,6090.26,Nimbu sCloud Invoice #092
INV-093,Kestrel Media,2026-06-08,63450.32,Kestre lMedia Invoice #093
INV-094,Nimbus Cloud,2026-07-16,210773.49,Nimbus Cloud Invoice #094
INV-095,Lotus Apparel,2026-06-06,112572.13,Lotus Apparel Invoice #095
INV-096,Yashoda Hospitals,2026-06-27,230098.33,Yashoda Hospitals Invoice #096
INV-097,Xenon Chemicals,2026-06-06,184078.32,Xenon Chemicals Invoice #097
INV-098,Nimbus Cloud,2026-06-13,248945.05,Nimbus Cloud Invoice #098
INV-099,Nimbus Cloud,2026-07-15,37382.91,Nimbus lCoud Invoice #099
INV-100,Meridian Consulting,2026-06-23,240995.93,Meridain Consulting Invoice #100
INV-101,Everest Foods,2026-06-25,215899.43,Everest Foods Invoice #101
INV-102,Everest Foods,2026-07-05,85053.82,Everest Foods Invoice #102
INV-103,Everest Foods,2026-06-18,184569.28,Eevrest Foods Invoice #103
INV-104,Bluewave Logistics,2026-07-06,201763.29,Bluewave Logistics Invoice #104
INV-105,Summit Traders,2026-07-02,249457.84,Summit Traders Invoice #105
INV-106,Lotus Apparel,2026-06-30,243765.92,Louts Apparel Invoice #106
INV-107,Yashoda Hospitals,2026-06-14,115719.68,Yashoda Hospitals Invoice #107
INV-108,Bluewave Logistics,2026-06-15,37025.23,Bluewave Logistics Invoice #108
INV-109,Falcon Analytics,2026-06-18,73564.37,Falcon Analytics Invoice #109
INV-110,Tundra Robotics,2026-07-10,65217.27,Tundra oRbotics Invoice #110
INV-111,Pinnacle Realty,2026-07-04,92571.06,Pinnacle Realty Invoice #111
INV-112,Falcon Analytics,2026-07-02,14301.12,Falcon Anayltics Invoice #112
INV-113,Nimbus Cloud,2026-07-11,240362.21,Nimbus Cloud Invoice #113
INV-114,Crescent Retail,2026-06-16,89968.48,Crescent Reatil Invoice #114
INV-115,Crescent Retail,2026-06-03,77252.61,Crsecent Retail Invoice #115
INV-116,Falcon Analytics,2026-06-25,44421.6,Faclon Analytics Invoice #116
INV-117,Vertex Systems,2026-07-11,152052.8,Vretex Systems Invoice #117
INV-118,Zenith Furniture,2026-07-05,106426.73,Zenith Furniture Invoice #118
INV-119,Vertex Systems,2026-06-28,54470.22,Vertex Systems Invoice #119
INV-120,Rangoli Foods,2026-06-23,220083.92,Rangoli Foosd Invoice #120
INV-121,Zenith Furniture,2026-06-20,81182.58,Zenith Furniture Invoice #121
INV-122,Ganges Pharma,2026-06-04,66125.11,Ganges Pharma Invoice #122
INV-123,Indus Motors,2026-07-12,105329.26,Idnus Motors Invoice #123
INV-124,Delta Textiles,2026-07-01,20640.08,Delta Textiles Invoice #124
INV-125,Wavefront Labs,2026-06-15,173147.94,Wavefront Labs Invoice #125
INV-126,Delta Textiles,2026-07-01,18150.85,Delta Textiles Invoice #126
INV-127,Falcon Analytics,2026-07-02,197376.67,Falcon Analytics Invoice #127
INV-128,Jaipur Handicrafts,2026-06-30,183318.82,Jaipur Handicrafts Invoice #128
INV-129,Quartz Energy,2026-06-11,35174.69,Quartz Energy Invoice #129
INV-130,Delta Textiles,2026-07-03,181097.73,Detla Textiles Invoice #130
INV-131,Vertex Systems,2026-06-06,227185.61,Vertex Systems Invoice #131
INV-132,Indus Motors,2026-06-06,96292.43,Inuds Motors Invoice #132
INV-133,Pinnacle Realty,2026-06-08,222460.51,Pinnacle Realty Invoice #133
INV-134,Udaan Airlines,2026-06-21,8028.25,Udaan Airlines Invoice #134
INV-135,Kestrel Media,2026-06-18,17335.93,Kestrel Medai Invoice #135
INV-136,Crescent Retail,2026-07-09,240976.96,Crescent Retail Invoice #136
INV-137,Pinnacle Realty,2026-06-09,206350.47,Pinnacle Realty Invoice #137
INV-138,Pinnacle Realty,2026-07-03,196364.97,Pinnacle Realty Invoice #138
INV-139,Vertex Systems,2026-06-09,245427.2,Vertex Systems Invoice #139
INV-140,Bluewave Logistics,2026-07-15,197167.56,Bleuwave Logistics Invoice #140
INV-141,Wavefront Labs,2026-07-16,163669.93,Wavefront Labs Invoice #141
INV-142,Summit Traders,2026-07-06,92730.97,Summit Traders Invoice #142
INV-143,Zenith Furniture,2026-06-08,99539.6,Zenith Furniture Invoice #143
INV-144,Crescent Retail,2026-07-14,42669.87,Crescent Retail Invoice #144
INV-145,Xenon Chemicals,2026-07-10,20493.21,Xenon Chemicals Invoice #145
INV-146,Crescent Retail,2026-06-23,232371.7,Crescent Retali Invoice #146
INV-147,Xenon Chemicals,2026-06-23,56875.55,Xenon Chemicals Invoice #147
INV-148,Crescent Retail,2026-06-13,82857.55,Crescent Retail Invoice #148
INV-149,Everest Foods,2026-07-05,53125.82,Everest Foods Invoice #149
INV-150,Acme Corp,2026-07-13,63525.8,Acme Corp Invoice #150
INV-151,Lotus Apparel,2026-06-15,15488.07,Lotus pAparel Invoice #151
INV-152,Acme Corp,2026-07-03,221098.39,Acme Corp Invoice #152
INV-153,Indus Motors,2026-06-12,131576.97,Indus Motors Invoice #153
INV-154,Everest Foods,2026-06-07,9057.84,Everest Foods Invoice #154
INV-155,Zenith Furniture,2026-07-15,146149.6,Zenith Furniture Invoice #155
INV-156,Vertex Systems,2026-06-26,189968.12,Vertex Systems Invoice #156
INV-157,Acme Corp,2026-06-06,206697.59,Acme Corp Invoice #157
INV-158,Udaan Airlines,2026-06-01,244033.25,UdaanA irlines Invoice #158
INV-159,Delta Textiles,2026-07-03,239393.79,Delta Textiles Invoice #159
INV-160,Vertex Systems,2026-06-22,23627.06,Vertex Systems Invoice #160
INV-161,Kestrel Media,2026-07-02,225039.69,Kestrel Media Invoice #161
INV-162,Indus Motors,2026-06-12,139398.03,Indus Mootrs Invoice #162
INV-163,Everest Foods,2026-07-11,131666.71,Everest Foods Invoice #163
INV-164,Jaipur Handicrafts,2026-06-23,84647.12,Jaipur Handicrafts Invoice #164
INV-165,Quartz Energy,2026-06-29,106427.32,Qaurtz Energy Invoice #165
INV-166,Falcon Analytics,2026-06-02,13612.97,Falcon Analytics Invoice #166
INV-167,Yashoda Hospitals,2026-06-09,89251.8,Yashoda Hospitals Invoice #167
INV-168,Pinnacle Realty,2026-07-01,78404.58,Pinnacle Realty Invoice #168
INV-169,Tundra Robotics,2026-06-29,71672.86,Tundra Robotics Invoice #169
INV-170,Indus Motors,2026-06-25,207921.75,Indu sMotors Invoice #170
INV-171,Rangoli Foods,2026-07-04,34924.67,Rangoli Foods Invoice #171
INV-172,Udaan Airlines,2026-06-10,176825.39,Udaan Airlines Invoice #172
INV-173,Everest Foods,2026-06-29,77439.8,Everes tFoods Invoice #173
INV-174,Bluewave Logistics,2026-06-13,31228.52,Bleuwave Logistics Invoice #174
INV-175,Rangoli Foods,2026-06-27,206396.5,Rangoli Foods Invoice #175
INV-176,Tundra Robotics,2026-06-18,134610.1,Tundra Robotics Invoice #176
INV-177,Tundra Robotics,2026-06-29,233712.39,Tundra Robotics Invoice #177
INV-178,Bluewave Logistics,2026-06-19,150961.89,Bluewave Logistics Invoice #178
INV-179,Xenon Chemicals,2026-06-21,199261.53,Xenon Chemiclas Invoice #179
INV-180,Xenon Chemicals,2026-06-26,242904.86,Xenon Chemicals Invoice #180
INV-181,Kestrel Media,2026-07-14,231413.83,Kestrel Medai Invoice #181
INV-182,Delta Textiles,2026-06-20,115265.08,Delt aTextiles Invoice #182
INV-183,Acme Corp,2026-06-19,217515.56,Acme Corp Invoice #183
INV-184,Meridian Consulting,2026-06-02,236313.49,Meridian Consulting Invoice #184
INV-185,Yashoda Hospitals,2026-06-10,165776.78,Yashoda Hospitals Invoice #185
INV-186,Acme Corp,2026-06-23,24471.48,Acme Corp Invoice #186
INV-187,Nimbus Cloud,2026-06-26,195172.61,Nimbus Cloud Invoice #187
INV-188,Nimbus Cloud,2026-06-19,155217.9,Nimbus Cluod Invoice #188
INV-189,Udaan Airlines,2026-06-24,25900.1,Udaan Airlines Invoice #189
INV-190,Pinnacle Realty,2026-07-05,202826.37,Pinnacle Realty Invoice #190
INV-191,Falcon Analytics,2026-07-14,74673.23,Falcon Analytics Invoice #191
INV-192,Udaan Airlines,2026-07-04,246861.37,Udaan Airlines Invoice #192
INV-193,Kestrel Media,2026-06-23,142301.8,Kestrel Media Invoice #193
INV-194,Ganges Pharma,2026-07-15,73998.54,Ganges Pharma Invoice #194
INV-195,Jaipur Handicrafts,2026-07-07,182616.22,Jiapur Handicrafts Invoice #195
INV-196,Jaipur Handicrafts,2026-06-12,32496.66,Jaipur Handicrafts Invoice #196
INV-197,Bluewave Logistics,2026-06-07,132541.54,Bluewave Logistics Invoice #197
INV-198,Bluewave Logistics,2026-06-09,12103.21,Bluewave Logistics Invoice #198
INV-199,Meridian Consulting,2026-06-04,26099.3,Meridian Consulting Invoice #199
INV-200,Meridian Consulting,2026-06-12,176405.58,Meridian Consulting Invoice #200
INV-201,Ganges Pharma,2026-07-15,149787.7,Ganges Pharma Invoice #201
INV-202,Everest Foods,2026-07-08,226297.72,Everest Foods Invoice #202
INV-203,Everest Foods,2026-07-13,41558.03,Everest Foods Invoice #203
INV-204,Jaipur Handicrafts,2026-06-02,62634.09,Jaipur Handicrafts Invoice #204
INV-205,Udaan Airlines,2026-06-02,40278.99,Udaan Airlines Invoice #205
INV-206,Bluewave Logistics,2026-07-07,123400.69,Bluewave Logistics Invoice #206
INV-207,Kestrel Media,2026-06-27,91464.06,Kestrel Media Invoice #207
INV-208,Tundra Robotics,2026-06-12,227982.21,Tundra Robotics Invoice #208
INV-209,Orion Freight,2026-06-26,121676.83,Orion Freight Invoice #209
INV-210,Vertex Systems,2026-06-16,184906.8,Vertex Systems Invoice #210
INV-211,Tundra Robotics,2026-06-06,18936.07,Tundra Robotics Invoice #211
INV-212,Yashoda Hospitals,2026-06-05,72935.43,YashodaH ospitals Invoice #212
INV-213,Acme Corp,2026-06-03,167828.43,Acme Crop Invoice #213
INV-214,Orion Freight,2026-06-19,163709.18,Oiron Freight Invoice #214
INV-215,Zenith Furniture,2026-06-03,104349.42,Zenith Furntiure Invoice #215
INV-216,Delta Textiles,2026-06-08,126800.16,Delta Textiles Invoice #216
INV-217,Zenith Furniture,2026-07-11,155048.17,Zenith Furniture Invoice #217
INV-218,Pinnacle Realty,2026-06-06,6555.65,Pinnacle Realty Invoice #218
INV-219,Delta Textiles,2026-07-10,93665.82,Delta Textiles Invoice #219
INV-220,Acme Corp,2026-07-02,131151.41,Acem Corp Invoice #220
INV-221,Ganges Pharma,2026-06-22,36166.88,Ganges Pharma Invoice #221
INV-222,Everest Foods,2026-06-08,213654.58,Everest Foods Invoice #222
INV-223,Acme Corp,2026-06-27,245145.09,AcmeC orp Invoice #223
INV-224,Everest Foods,2026-07-16,104313.29,Everest Foods Invoice #224
INV-225,Falcon Analytics,2026-07-12,141903.66,Falcon Analyitcs Invoice #225
INV-226,Lotus Apparel,2026-07-14,236614.5,Lotus Apparel Invoice #226
INV-227,Crescent Retail,2026-06-02,218589.46,Crescent eRtail Invoice #227
INV-228,Falcon Analytics,2026-07-16,174750.52,Falcon Analytics Invoice #228
INV-229,Jaipur Handicrafts,2026-07-01,224514.48,Jaipur Handicrafts Invoice #229
INV-230,Crescent Retail,2026-07-05,213115.59,Crescent Retail Invoice #230
INV-231,Nimbus Cloud,2026-06-09,209700.33,Nimbus Cloud Invoice #231
INV-232,Xenon Chemicals,2026-06-30,60007.45,Xenon Chemicals Invoice #232
INV-233,Falcon Analytics,2026-07-08,19335.05,Falcon Analyitcs Invoice #233
INV-234,Lotus Apparel,2026-07-02,105938.65,Lotus Apparel Invoice #234
INV-235,Jaipur Handicrafts,2026-06-02,187392.75,Jaipu rHandicrafts Invoice #235
INV-236,Ganges Pharma,2026-06-12,169297.16,Ganegs Pharma Invoice #236
INV-237,Delta Textiles,2026-06-12,209511.83,Delta Textiles Invoice #237
INV-238,Lotus Apparel,2026-06-12,8132.53,Lotus Apparel Invoice #238
INV-239,Vertex Systems,2026-07-09,237784.01,Vertex Systems Invoice #239
INV-240,Pinnacle Realty,2026-07-02,128674.72,Pinnacle Realty Invoice #240
INV-241,Falcon Analytics,2026-07-03,18655.6,Falcon Anayltics Invoice #241
INV-242,Delta Textiles,2026-06-22,46595.91,Delta Textiles Invoice #242
INV-243,Vertex Systems,2026-06-28,144172.1,Vertex Systems Invoice #243
INV-244,Bluewave Logistics,2026-06-20,249075.78,Bluewave Logistics Invoice #244
INV-245,Ganges Pharma,2026-07-13,240718.68,Ganges Pharma Invoice #245
INV-246,Tundra Robotics,2026-06-16,104437.16,Tundar Robotics Invoice #246
INV-247,Zenith Furniture,2026-06-20,118719.13,Zenith Furniture Invoice #247
INV-248,Summit Traders,2026-07-03,233569.18,Summit Traders Invoice #248
INV-249,Pinnacle Realty,2026-07-14,65354.94,Pinnacle Realyt Invoice #249
INV-250,Yashoda Hospitals,2026-06-16,77868.61,Yashoda Hospitals Invoice #250
INV-251,Yashoda Hospitals,2026-06-04,162136.34,Yashoda oHspitals Invoice #251
INV-252,Summit Traders,2026-06-15,10079.99,Summit Trdaers Invoice #252
INV-253,Quartz Energy,2026-06-28,194473.03,Quartz Energy Invoice #253
INV-254,Udaan Airlines,2026-06-30,26005.98,Udaan Airlines Invoice #254
INV-255,Indus Motors,2026-06-11,128417.95,Indus Motors Invoice #255
INV-256,Everest Foods,2026-06-04,61315.83,Everets Foods Invoice #256
INV-257,Summit Traders,2026-06-12,107022.65,Summit Tarders Invoice #257
INV-258,Bluewave Logistics,2026-07-12,74323.73,Bluewave Logistics Invoice #258
INV-259,Quartz Energy,2026-06-13,124957.64,Quartz Energy Invoice #259
INV-260,Quartz Energy,2026-06-28,77393.0,Quratz Energy Invoice #260
INV-261,Zenith Furniture,2026-06-12,56711.75,Zenith Furinture Invoice #261
INV-262,Udaan Airlines,2026-06-10,164186.26,Udaan Airlines Invoice #262
INV-263,Xenon Chemicals,2026-07-08,150980.69,Xenon Chemicals Invoice #263
INV-264,Orion Freight,2026-06-15,129370.81,Orion Freight Invoice #264
INV-265,Ganges Pharma,2026-07-06,16527.09,Gange sPharma Invoice #265
INV-266,Yashoda Hospitals,2026-06-08,243791.64,Yashoda Hospitals Invoice #266
INV-267,Quartz Energy,2026-06-11,25882.3,Quartz Energy Invoice #267
INV-268,Meridian Consulting,2026-06-03,166743.16,Meridian Consulting Invoice #268
INV-269,Jaipur Handicrafts,2026-06-06,14057.69,Jaipu rHandicrafts Invoice #269
INV-270,Xenon Chemicals,2026-06-01,116021.05,Xenon Chemicals Invoice #270
INV-271,Bluewave Logistics,2026-06-28,222684.78,Bluewave Logistics Invoice #271
INV-272,Falcon Analytics,2026-07-06,95486.35,Falcon Analytics Invoice #272
INV-273,Jaipur Handicrafts,2026-07-07,115831.73,Jaipur Handicarfts Invoice #273
INV-274,Zenith Furniture,2026-07-16,80667.78,Zenith Furniture Invoice #274
INV-275,Falcon Analytics,2026-06-27,10893.95,Falcon Analytics Invoice #275
INV-276,Meridian Consulting,2026-06-07,83410.16,Meridian Consulting Invoice #276
INV-277,Acme Corp,2026-06-27,160217.62,Acme Corp Invoice #277
INV-278,Rangoli Foods,2026-07-08,170398.87,Rangoli Foods Invoice #278
INV-279,Orion Freight,2026-07-10,75866.12,Orion Freight Invoice #279
INV-280,Pinnacle Realty,2026-06-18,151477.6,Pinnacle Realty Invoice #280
INV-281,Tundra Robotics,2026-06-22,8889.28,Tundra Robotics Invoice #281
INV-282,Lotus Apparel,2026-06-13,113921.53,Ltous Apparel Invoice #282
INV-283,Everest Foods,2026-06-05,36220.57,Everest Foods Invoice #283
INV-284,Harbor Steel,2026-06-04,73093.59,Harbor Steel Invoice #284
INV-285,Nimbus Cloud,2026-06-02,150170.04,Nimbus Cloud Invoice #285
INV-286,Udaan Airlines,2026-06-28,21118.61,Udaan Airlines Invoice #286
INV-287,Everest Foods,2026-07-11,129680.01,Everest Foods Invoice #287
INV-288,Ganges Pharma,2026-06-13,161935.92,Gagnes Pharma Invoice #288
INV-289,Falcon Analytics,2026-06-01,93890.2,Flacon Analytics Invoice #289
INV-290,Ganges Pharma,2026-06-20,116769.9,Ganges Pharma Invoice #290
INV-291,Quartz Energy,2026-07-08,222029.4,Quratz Energy Invoice #291
INV-292,Summit Traders,2026-06-11,234197.23,Summit Traders Invoice #292
INV-293,Orion Freight,2026-06-15,70078.1,Oroin Freight Invoice #293
INV-294,Lotus Apparel,2026-06-26,236724.68,Lotus Apparel Invoice #294
INV-295,Everest Foods,2026-06-20,236121.73,Everest Foosd Invoice #295
INV-296,Jaipur Handicrafts,2026-06-06,46998.8,Jaipur Handicrafts Invoice #296
INV-297,Ganges Pharma,2026-06-20,110889.17,Ganges Pharma Invoice #297
INV-298,Zenith Furniture,2026-06-12,106687.93,Zenith Furinture Invoice #298
INV-299,Falcon Analytics,2026-06-17,55806.16,Flacon Analytics Invoice #299
INV-300,Wavefront Labs,2026-07-14,188685.35,Wavefront Labs Invoice #300
