settlement_id,order_id,utr,settlement_date,gross_amount,fee,tax,settled_amount,merchant_ref
STL-0031,order_XFQ8MYX444,UTR788554816658,2026-06-10,133858.02,2677.16,481.89,130698.97,RAZORP*ORIO031
STL-0032,order_B2KNFTU2GC,UTR520352055311,2026-07-14,177453.25,3549.07,638.83,173265.35,RAZORP*YASH032
STL-0033,order_YQK94DNMKZ,UTR825119489915,2026-06-07,113223.8,2264.48,407.61,110551.71,RAZORP*FALC033
STL-0034,order_W6XLPU0DK0,UTR319797700469,2026-06-18,171052.29,3421.05,615.79,167015.45,RAZORP*TUND034
STL-0035,order_982N2ATQYY,UTR519122494202,2026-06-11,119741.19,2394.82,431.07,116915.3,RAZORP*KEST035
STL-0036,order_D5EQY08P0F,UTR819041453913,2026-07-13,105032.48,2100.65,378.12,102553.71,RAZORP*JAIP036
STL-0037,order_DHX8BM92H3,UTR330013571010,2026-06-26,19834.77,396.7,71.41,19366.66,RAZORP*UDAA037
STL-0038,order_LGB0S0R2SD,UTR342682139286,2026-07-16,217279.73,4345.59,782.21,212151.93,RAZORP*DELT038
STL-0039,order_ROYR6CCVCJ,UTR742669170937,2026-07-16,132755.55,2655.11,477.92,129622.52,RAZORP*ZENI039
STL-0040,order_PXNF7C3DD0,UTR245220443325,2026-06-30,88038.25,1760.77,316.94,85960.54,RAZORP*HARB040
STL-0041,order_P6BKLDSFR4,UTR506116067841,2026-07-07,85763.27,1715.27,308.75,83739.25,RAZORP*RANG041
STL-0042,order_FXC08DTNQF,UTR891612454760,2026-07-17,191790.33,3835.81,690.45,187264.07,RAZORP*INDU042
STL-0043,order_RYBOVAKHEJ,UTR230258293666,2026-07-04,32885.29,657.71,118.39,32109.19,RAZORP*GANG043
STL-0044,order_UZPEAL2W37,UTR577119884818,2026-06-29,9591.68,191.83,34.53,9365.32,RAZORP*BLUE044
STL-0045,order_DJGF1C8WQU,UTR592115068238,2026-06-26,91019.44,1820.39,327.67,88871.38,RAZORP*GANG045
STL-0047,order_0B6UGVS8Q3,UTR477258662365,2026-07-13,150549.56,3010.99,541.98,146996.59,RAZORP*CRES047
STL-0048,order_DYK0X65MUF,UTR440804885228,2026-06-25,171329.94,3426.6,616.79,167286.55,RAZORP*YASH048
STL-0049,order_8RIEC4D145,UTR826011597249,2026-07-05,93647.88,1872.96,337.13,91437.79,RAZORP*NIMB049
STL-0050,order_2II826GYUP,UTR412542358733,2026-07-16,181298.49,3625.97,652.67,177019.85,RAZORP*LOTU050
STL-0051,order_FP8HQMABSI,UTR190170799779,2026-06-10,74840.44,1496.81,269.43,73074.2,RAZORP*QUAR051
STL-0053,order_KKBP2QD6VA,UTR733573714419,2026-06-11,139457.04,2789.14,502.05,136165.85,RAZORP*GANG053
STL-0054,order_QW9JA2M0W1,UTR932086292191,2026-07-07,129295.29,2585.91,465.46,126243.92,RAZORP*QUAR054
STL-0055,order_B7S9TJ1GM2,UTR820978113703,2026-07-18,195166.65,3903.33,702.6,190420.96,RAZORP*CRES055
STL-0057,order_QZFPQ06WPX,UTR181850729653,2026-06-15,138641.23,2772.82,499.11,135369.3,RAZORP*TUND057
STL-0058,order_Y8N1UTOXIE,UTR305023162379,2026-07-14,94750.48,1895.01,341.1,92514.37,RAZORP*HARB058
STL-0059,order_89YZTKKFZZ,UTR972626076284,2026-07-01,47300.81,946.02,170.28,46184.51,RAZORP*CRES059
STL-0060,order_13C9XQYM52,UTR746992988388,2026-06-06,80776.23,1615.52,290.79,78869.92,RAZORP*CRES060
